"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_maintenance_role_returns_200","tests.security","2026-07-12","passed","2026-07-12","TestMaintenanceRBAC","test_efb_api","",""
"","0","test_bytes_to_words_rejects_odd_length","tests.protocol","2026-07-12","passed","2026-07-12","TestSerialization","test_arinc429","",""
"","0","test_list_weather_has_stations","tests.security","2026-07-12","passed","2026-07-12","TestWeatherContract","test_efb_api","",""
"","1","test_token_shape","tests.security","2026-07-12","passed","2026-07-12","TestAuthentication","test_efb_api","",""
"","0","test_test_case_names_follow_pytest_convention","tests.agents","2026-07-12","passed","2026-07-12","TestThreatModellerContract","test_agents","",""
"","1","test_bnr_value_survives_roundtrip[245--56.0]","tests.protocol","2026-07-12","passed","2026-07-12","TestBNREncoding","test_arinc429","",""
"","0","test_markdown_has_all_stride_sections","tests.agents","2026-07-12","passed","2026-07-12","TestThreatModellerMarkdown","test_agents","",""
"","1","test_to_markdown_returns_string","tests.agents","2026-07-12","passed","2026-07-12","TestThreatModellerMarkdown","test_agents","",""
"","0","test_null_bytes_do_not_crash_parser","tests.protocol","2026-07-12","passed","2026-07-12","TestNullByteInjectionAttack","test_acars_parser","",""
"","0","test_returns_stride_model_type","tests.agents","2026-07-12","passed","2026-07-12","TestThreatModellerContract","test_agents","",""
"","0","test_null_byte_message_uses_high_impact_label","tests.protocol","2026-07-12","passed","2026-07-12","TestNullByteInjectionAttack","test_acars_parser","",""
"
        Even if the input body is over 220 chars, the parsed body
        must be capped. No buffer overflow surface area.
        ","752","test_body_never_exceeds_max_length","tests.fuzzing","2026-07-12","passed","2026-07-12","TestAcarsParserProperties","test_acars_fuzzing","",""
"","0","test_anomaly_count_attacked_frame","tests.protocol","2026-07-12","passed","2026-07-12","TestARINC429Validator","test_arinc429","",""
"","0","test_live_report_has_attack_chains","tests.agents","2026-07-12","skipped","2026-07-12","TestPentestNarratorLive","test_agents","",""
"W4 finding: full os.environ dump accessible unauthenticated.","1","test_debug_exposes_environment_variables","tests.security","2026-07-12","passed","2026-07-12","TestW4DebugEndpoint","test_efb_api","",""
"Unicode / emoji injection in callsign.","1","test_unicode_in_callsign","tests.security","2026-07-12","passed","2026-07-12","TestInjectionAttacks","test_efb_api","",""
"","0","test_parser_does_not_crash_on_huge_payload","tests.protocol","2026-07-12","passed","2026-07-12","TestOversizedTextAttack","test_acars_parser","",""
"","0","test_major_count_is_correct","tests.agents","2026-07-12","passed","2026-07-12","TestComplianceMapperCounting","test_agents","",""
"parse_errors must always be a list (never None).","771","test_parse_errors_is_always_a_list","tests.fuzzing","2026-07-12","passed","2026-07-12","TestAcarsParserProperties","test_acars_fuzzing","",""
"","0","test_label_name_populated","tests.protocol","2026-07-12","passed","2026-07-12","TestNormalMessages","test_acars_parser","",""
"
        W2 finding: /api/v1/debug exposes the hardcoded JWT_SECRET in plaintext.
        This is a critical information disclosure vulnerability.
        ","1","test_debug_endpoint_exposes_jwt_secret","tests.security","2026-07-12","passed","2026-07-12","TestW2HardcodedSecret","test_efb_api","",""
"","0","test_replay_without_capture_raises","tests.protocol","2026-07-12","passed","2026-07-12","TestReplayAttackGenerator","test_arinc429","",""
"Fallback must cover all six STRIDE categories.","0","test_minimum_six_threats","tests.agents","2026-07-12","passed","2026-07-12","TestThreatModellerContract","test_agents","",""
"","0","test_component_preserved","tests.agents","2026-07-12","passed","2026-07-12","TestThreatModellerContract","test_agents","",""
"","1","test_each_finding_has_required_keys","tests.agents","2026-07-12","passed","2026-07-12","TestPentestNarratorContract","test_agents","",""
"","0","test_cvss_scores_in_valid_range","tests.agents","2026-07-12","passed","2026-07-12","TestPentestNarratorContract","test_agents","",""
"","1","test_each_entry_has_ed202a_objective","tests.agents","2026-07-12","passed","2026-07-12","TestComplianceMapperContract","test_agents","",""
"","0","test_pilot_cannot_delete_others_plan","tests.security","2026-07-12","passed","2026-07-12","TestFlightPlanContract","test_efb_api","",""
"","0","test_actors_is_non_empty_list","tests.agents","2026-07-12","passed","2026-07-12","TestThreatModellerContract","test_agents","",""
"Business logic probe: negative fuel must be rejected or handled.","1","test_negative_fuel_accepted_or_rejected","tests.security","2026-07-12","passed","2026-07-12","TestInjectionAttacks","test_efb_api","",""
"","0","test_replayed_ack_differs_from_original","tests.protocol","2026-07-12","passed","2026-07-12","TestReplayAttack","test_acars_parser","",""
"","0","test_oversized_text_has_anomaly_flag","tests.protocol","2026-07-12","passed","2026-07-12","TestOversizedTextAttack","test_acars_parser","",""
"","1","test_create_plan_no_body_returns_400","tests.security","2026-07-12","passed","2026-07-12","TestFlightPlanContract","test_efb_api","",""
"","0","test_failure_warning_is_not_safe","tests.protocol","2026-07-12","passed","2026-07-12","TestARINC429Validator","test_arinc429","",""
"","1","test_metar_unknown_icao_returns_404","tests.security","2026-07-12","passed","2026-07-12","TestWeatherContract","test_efb_api","",""
"","1","test_bnr_rejects_out_of_range_high","tests.protocol","2026-07-12","passed","2026-07-12","TestBNREncoding","test_arinc429","",""
"","1","test_health_has_timestamp","tests.security","2026-07-12","passed","2026-07-12","TestPublicEndpoints","test_efb_api","",""
"","0","test_empty_message_is_invalid","tests.fuzzing","2026-07-12","passed","2026-07-12","TestAcarsParserKnownInputs","test_acars_fuzzing","",""
"","0","test_malformed_bearer_returns_401","tests.security","2026-07-12","passed","2026-07-12","TestAuthentication","test_efb_api","",""
"","0","test_empty_body_returns_401","tests.security","2026-07-12","passed","2026-07-12","TestAuthentication","test_efb_api","",""
"","2","test_health_returns_200","tests.security","2026-07-12","passed","2026-07-12","TestPublicEndpoints","test_efb_api","",""
"","0","test_ed202a_refs_are_set","tests.agents","2026-07-12","passed","2026-07-12","TestThreatModellerContract","test_agents","",""
"","0","test_double_bit_flip_is_undetectable","tests.protocol","2026-07-12","passed","2026-07-12","TestParity","test_arinc429","",""
"","1","test_builder_rejects_oversized_text","tests.protocol","2026-07-12","passed","2026-07-12","TestBuilderValidation","test_acars_parser","",""
"","1","test_delete_own_plan_returns_200","tests.security","2026-07-12","passed","2026-07-12","TestFlightPlanContract","test_efb_api","",""
"","0","test_replayed_clearance_is_parsed","tests.protocol","2026-07-12","passed","2026-07-12","TestReplayAttack","test_acars_parser","",""
"","0","test_replayed_timestamps_are_offset","tests.protocol","2026-07-12","passed","2026-07-12","TestReplayAttackGenerator","test_arinc429","",""
"","0","test_executive_summary_is_non_empty_string","tests.agents","2026-07-12","passed","2026-07-12","TestPentestNarratorContract","test_agents","",""
"","0","test_get_plan_shape","tests.security","2026-07-12","passed","2026-07-12","TestFlightPlanContract","test_efb_api","",""
"","0","test_unknown_label_flagged","tests.protocol","2026-07-12","passed","2026-07-12","TestLabelInjectionAttack","test_acars_parser","",""
"","0","test_all_batch_words_fail_range","tests.protocol","2026-07-12","passed","2026-07-12","TestOutOfRangeInjector","test_arinc429","",""
"
        Property: parse_batch must return exactly as many results as inputs.
        ","67","test_batch_count_matches_input","tests.fuzzing","2026-07-12","passed","2026-07-12","TestACARSParserBatchConsistency","test_acars_hypothesis","",""
"","1","test_list_weather_returns_200","tests.security","2026-07-12","passed","2026-07-12","TestWeatherContract","test_efb_api","",""
"","0","test_no_api_key_uses_fallback","tests.agents","2026-07-12","passed","2026-07-12","TestPentestNarratorFallback","test_agents","",""
"","0","test_all_words_pass_parity","tests.protocol","2026-07-12","passed","2026-07-12","TestNormalFlightScenario","test_arinc429","",""
"","1","test_create_plan_returns_201","tests.security","2026-07-12","passed","2026-07-12","TestFlightPlanContract","test_efb_api","",""
"","1","test_pilot_forbidden_on_maintenance","tests.security","2026-07-12","passed","2026-07-12","TestMaintenanceRBAC","test_efb_api","",""
"","0","test_attack_chains_is_list","tests.agents","2026-07-12","passed","2026-07-12","TestPentestNarratorContract","test_agents","",""
"
        Null bytes in body should be detected and flagged, not cause a crash.
        Null bytes can terminate C strings in downstream avionics units.
        ","172","test_null_bytes_flagged_not_crashed","tests.fuzzing","2026-07-12","passed","2026-07-12","TestAcarsParserProperties","test_acars_fuzzing","",""
"","0","test_unknown_user_returns_401","tests.security","2026-07-12","passed","2026-07-12","TestAuthentication","test_efb_api","",""
"Verify PentestNarrator output can be consumed by ComplianceMapper.","1","test_narrator_findings_feed_mapper","tests.agents","2026-07-12","passed","2026-07-12","TestAgentPipelineIntegration","test_agents","",""
"","1","test_overall_posture_is_non_empty","tests.agents","2026-07-12","passed","2026-07-12","TestComplianceMapperContract","test_agents","",""
"","0","test_bnr_value_survives_roundtrip[131-35000.0]","tests.protocol","2026-07-12","passed","2026-07-12","TestBNREncoding","test_arinc429","",""
"Property: text field is always a str, never bytes or None.","119","test_result_text_is_always_string","tests.fuzzing","2026-07-12","passed","2026-07-12","TestACARSParserReturnType","test_acars_hypothesis","",""
"","0","test_cvss_scores_are_numeric","tests.agents","2026-07-12","passed","2026-07-12","TestPentestNarratorContract","test_agents","",""
"","1","test_each_user_role_is_correct","tests.security","2026-07-12","passed","2026-07-12","TestAuthentication","test_efb_api","",""
"","0","test_markdown_contains_all_finding_ids","tests.agents","2026-07-12","passed","2026-07-12","TestPentestNarratorMarkdown","test_agents","",""
"","0","test_markdown_has_executive_summary_section","tests.agents","2026-07-12","passed","2026-07-12","TestPentestNarratorMarkdown","test_agents","",""
"Property: every parse result has a valid ParseStatus.","157","test_result_has_status","tests.fuzzing","2026-07-12","passed","2026-07-12","TestACARSParserReturnType","test_acars_hypothesis","",""
"","0","test_prompt_version_is_set","tests.agents","2026-07-12","passed","2026-07-12","TestPentestNarratorContract","test_agents","",""
"","0","test_each_threat_has_id","tests.agents","2026-07-12","passed","2026-07-12","TestThreatModellerContract","test_agents","",""
"","0","test_single_byte_returns_truncated","tests.protocol","2026-07-12","passed","2026-07-12","TestEdgeCases","test_acars_parser","",""
"","0","test_bnr_value_survives_roundtrip[65-280.0]","tests.protocol","2026-07-12","passed","2026-07-12","TestBNREncoding","test_arinc429","",""
"
        Property: any text body within the limit and using printable ASCII
        must be accepted with status OK (assuming a well-formed frame).
        ","64","test_valid_length_text_is_accepted","tests.fuzzing","2026-07-12","passed","2026-07-12","TestACARSParserLengthEnforcement","test_acars_hypothesis","",""
"","0","test_markdown_has_title","tests.agents","2026-07-12","passed","2026-07-12","TestThreatModellerMarkdown","test_agents","",""
"","1","test_aircraft_address_is_parsed","tests.protocol","2026-07-12","passed","2026-07-12","TestNormalMessages","test_acars_parser","",""
"","1","test_unknown_route_returns_404","tests.security","2026-07-12","passed","2026-07-12","TestPublicEndpoints","test_efb_api","",""
"
        W5 finding: unhandled exceptions return a full Python traceback.
        Achieved by sending a type-coercion payload to the performance endpoint.
        ","0","test_500_exposes_traceback","tests.security","2026-07-12","passed","2026-07-12","TestW5InformationDisclosure","test_efb_api","",""
"
        Property: any text body longer than MAX_TEXT_LENGTH must produce
        a status of TEXT_TOO_LONG.

        FINDING: if this test fails, the parser is silently accepting
        oversized payloads — a potential buffer overflow vector.
        ","30","test_oversized_text_always_flagged","tests.fuzzing","2026-07-12","passed","2026-07-12","TestACARSParserLengthEnforcement","test_acars_hypothesis","",""
"Python decode with errors='replace' should substitute null bytes.","0","test_null_byte_text_contains_replacement","tests.protocol","2026-07-12","passed","2026-07-12","TestNullByteInjectionAttack","test_acars_parser","",""
"","0","test_frame_to_bytes_length","tests.protocol","2026-07-12","passed","2026-07-12","TestSerialization","test_arinc429","",""
"","0","test_wrong_password_returns_401","tests.security","2026-07-12","passed","2026-07-12","TestAuthentication","test_efb_api","",""
"","0","test_missing_etx_does_not_crash","tests.protocol","2026-07-12","passed","2026-07-12","TestMissingETXAttack","test_acars_parser","",""
"Live AI should produce specific code-level fixes, not generic advice.","0","test_live_corrective_actions_mention_code","tests.agents","2026-07-12","skipped","2026-07-12","TestComplianceMapperLive","test_agents","",""
"","0","test_corrupt_frame_ratio_0_leaves_all_valid","tests.protocol","2026-07-12","passed","2026-07-12","TestParityCorruptionInjector","test_arinc429","",""
"","0","test_builder_truncates_callsign","tests.protocol","2026-07-12","passed","2026-07-12","TestBuilderValidation","test_acars_parser","",""
"","0","test_empty_findings_returns_empty_matrix","tests.agents","2026-07-12","passed","2026-07-12","TestComplianceMapperContract","test_agents","",""
"","1","test_list_shape_has_flight_plans_and_count","tests.security","2026-07-12","passed","2026-07-12","TestFlightPlanContract","test_efb_api","",""
"","0","test_bnr_rejects_unknown_label","tests.protocol","2026-07-12","passed","2026-07-12","TestBNREncoding","test_arinc429","",""
"","0","test_markdown_has_compliance_matrix_table","tests.agents","2026-07-12","passed","2026-07-12","TestComplianceMapperMarkdown","test_agents","",""
"","0","test_entry_count_matches_input","tests.agents","2026-07-12","passed","2026-07-12","TestComplianceMapperContract","test_agents","",""
"","1","test_missing_etx_has_anomaly","tests.protocol","2026-07-12","passed","2026-07-12","TestMissingETXAttack","test_acars_parser","",""
"","0","test_injected_word_fails_range_validation","tests.protocol","2026-07-12","passed","2026-07-12","TestOutOfRangeInjector","test_arinc429","",""
"","0","test_valid_word_passes_all_checks","tests.protocol","2026-07-12","passed","2026-07-12","TestARINC429Validator","test_arinc429","",""
"W4 finding: user enumeration without authentication.","0","test_debug_exposes_all_usernames","tests.security","2026-07-12","passed","2026-07-12","TestW4DebugEndpoint","test_efb_api","",""
"","0","test_invalid_token_returns_401","tests.security","2026-07-12","passed","2026-07-12","TestAuthentication","test_efb_api","",""
"","0","test_scope_disclaimer_is_set","tests.agents","2026-07-12","passed","2026-07-12","TestComplianceMapperContract","test_agents","",""
"","0","test_missing_etx_detected","tests.protocol","2026-07-12","passed","2026-07-12","TestMissingETXAttack","test_acars_parser","",""
"","1","test_bnr_value_survives_roundtrip[213--30.0]","tests.protocol","2026-07-12","passed","2026-07-12","TestBNREncoding","test_arinc429","",""
"
        W5 finding: 403 responses from require_role() expose both
        the required role and the caller's role — aids privilege escalation planning.
        ","0","test_403_response_leaks_role_info","tests.security","2026-07-12","passed","2026-07-12","TestW5InformationDisclosure","test_efb_api","",""
"","1","test_get_nonexistent_plan_returns_404","tests.security","2026-07-12","passed","2026-07-12","TestFlightPlanContract","test_efb_api","",""
"","0","test_oversized_text_detected","tests.protocol","2026-07-12","passed","2026-07-12","TestOversizedTextAttack","test_acars_parser","",""
"","0","test_replayed_frames_marked_corrupted","tests.protocol","2026-07-12","passed","2026-07-12","TestReplayAttackGenerator","test_arinc429","",""
"","0","test_random_bytes_do_not_crash","tests.protocol","2026-07-12","passed","2026-07-12","TestEdgeCases","test_acars_parser","",""
"","0","test_valid_fuel_order","tests.fuzzing","2026-07-12","passed","2026-07-12","TestAcarsParserKnownInputs","test_acars_fuzzing","",""
"","0","test_takeoff_has_distance","tests.security","2026-07-12","passed","2026-07-12","TestPerformanceContract","test_efb_api","",""
"","0","test_bnr_ncd_returns_none","tests.protocol","2026-07-12","passed","2026-07-12","TestBNREncoding","test_arinc429","",""
"Parser must always return an AcarsMessage, never None.","768","test_parser_always_returns_acars_message","tests.fuzzing","2026-07-12","passed","2026-07-12","TestAcarsParserProperties","test_acars_fuzzing","",""
"
        Property: the parser is stateless — parsing the same frame twice
        must produce identical results.
        ","106","test_parsing_same_frame_twice_gives_same_result","tests.fuzzing","2026-07-12","passed","2026-07-12","TestACARSParserIdemPotence","test_acars_hypothesis","",""
"","1","test_valid_pdc_message","tests.fuzzing","2026-07-12","passed","2026-07-12","TestAcarsParserKnownInputs","test_acars_fuzzing","",""
"
        Property: batch parsing must produce the same results as individual parsing.
        ","129","test_batch_matches_individual_parses","tests.fuzzing","2026-07-12","passed","2026-07-12","TestACARSParserBatchConsistency","test_acars_hypothesis","",""
"","1","test_delete_nonexistent_plan_returns_404","tests.security","2026-07-12","passed","2026-07-12","TestFlightPlanContract","test_efb_api","",""
"
        W1 finding: an attacker can iterate a credential list and authenticate
        on success — no lockout mechanism exists.
        ","2","test_credential_stuffing_succeeds_without_lockout","tests.security","2026-07-12","passed","2026-07-12","TestW1NoRateLimiting","test_efb_api","",""
"
        Property: the parser must NEVER raise an unhandled exception,
        regardless of input content.
        ","296","test_parser_never_raises_on_arbitrary_bytes","tests.fuzzing","2026-07-12","passed","2026-07-12","TestACARSParserNeverCrashes","test_acars_hypothesis","",""
"End-to-end: all three agents produce non-empty Markdown output.","0","test_all_agents_produce_non_empty_markdown","tests.agents","2026-07-12","passed","2026-07-12","TestAgentPipelineIntegration","test_agents","",""
"
        Property: structured but randomised ACARS frames must never crash the parser.
        ","320","test_parser_never_raises_on_structured_frames","tests.fuzzing","2026-07-12","passed","2026-07-12","TestACARSParserNeverCrashes","test_acars_hypothesis","",""
"
        W2 finding: the hardcoded secret is guessable (contains 'dev' and year).
        A production secret must be randomly generated and stored in a vault.
        ","0","test_jwt_secret_is_weak","tests.security","2026-07-12","passed","2026-07-12","TestW2HardcodedSecret","test_efb_api","",""
"Null injection in JSON body fields.","1","test_null_values_in_body","tests.security","2026-07-12","passed","2026-07-12","TestInjectionAttacks","test_efb_api","",""
"","0","test_takeoff_returns_note_disclaimer","tests.security","2026-07-12","passed","2026-07-12","TestPerformanceContract","test_efb_api","",""
"","1","test_markdown_has_gap_summary","tests.agents","2026-07-12","passed","2026-07-12","TestComplianceMapperMarkdown","test_agents","",""
"","0","test_get_existing_plan_returns_200","tests.security","2026-07-12","passed","2026-07-12","TestFlightPlanContract","test_efb_api","",""
"
        CRITICAL PROPERTY: parser.parse() must never raise.
        A crash in an ACARS parser on an avionics unit is a safety event.
        ","1657","test_parser_never_crashes","tests.fuzzing","2026-07-12","passed","2026-07-12","TestAcarsParserProperties","test_acars_fuzzing","",""
"","0","test_builder_rejects_bad_label","tests.protocol","2026-07-12","passed","2026-07-12","TestBuilderValidation","test_acars_parser","",""
"","0","test_valid_free_text_message","tests.fuzzing","2026-07-12","passed","2026-07-12","TestAcarsParserKnownInputs","test_acars_fuzzing","",""
"Any message shorter than the header is always invalid.","1453","test_short_message_always_invalid","tests.fuzzing","2026-07-12","passed","2026-07-12","TestAcarsParserProperties","test_acars_fuzzing","",""
"","1","test_markdown_has_model_footer","tests.agents","2026-07-12","passed","2026-07-12","TestThreatModellerMarkdown","test_agents","",""
"","1","test_denial_of_data_targets_navigation","tests.protocol","2026-07-12","passed","2026-07-12","TestSSMSpoofingInjector","test_arinc429","",""
"","0","test_findings_count_matches_input","tests.agents","2026-07-12","passed","2026-07-12","TestPentestNarratorContract","test_agents","",""
"","0","test_valid_metar_message","tests.fuzzing","2026-07-12","passed","2026-07-12","TestAcarsParserKnownInputs","test_acars_fuzzing","",""
"","0","test_parser_stats_track_errors","tests.fuzzing","2026-07-12","passed","2026-07-12","TestAcarsParserKnownInputs","test_acars_fuzzing","",""
"SQL injection probe on the plan_id path parameter.","2","test_sql_injection_in_plan_id","tests.security","2026-07-12","passed","2026-07-12","TestInjectionAttacks","test_efb_api","",""
"","0","test_returns_pentest_report_type","tests.agents","2026-07-12","passed","2026-07-12","TestPentestNarratorContract","test_agents","",""
"","1","test_each_threat_has_mitigations","tests.agents","2026-07-12","passed","2026-07-12","TestThreatModellerContract","test_agents","",""
"","0","test_anomaly_count_clean_frame","tests.protocol","2026-07-12","passed","2026-07-12","TestARINC429Validator","test_arinc429","",""
"W5 finding: /health leaks the server hostname via platform.node().","1","test_health_exposes_hostname","tests.security","2026-07-12","passed","2026-07-12","TestW5InformationDisclosure","test_efb_api","",""
"","1","test_logout_invalidates_token","tests.security","2026-07-12","passed","2026-07-12","TestAuthentication","test_efb_api","",""
"
        W3 finding: capt_dubois (u001) can retrieve fp002 which belongs to
        fo_martin (u002).  The endpoint performs no ownership check.
        Fix: add `if plan.owner_id != current_user.id and role != 'dispatcher': 403`
        ","1","test_pilot_can_access_other_pilots_plan","tests.security","2026-07-12","passed","2026-07-12","TestW3IDOR","test_efb_api","",""
"W3 finding: sequential IDs make enumeration trivial.","1","test_idor_allows_enumeration","tests.security","2026-07-12","passed","2026-07-12","TestW3IDOR","test_efb_api","",""
"","0","test_bnr_value_survives_roundtrip[66-0.78]","tests.protocol","2026-07-12","passed","2026-07-12","TestBNREncoding","test_arinc429","",""
"","1","test_pilot_sees_only_own_plans","tests.security","2026-07-12","passed","2026-07-12","TestFlightPlanContract","test_efb_api","",""
"","1","test_w2_gets_highest_cvss","tests.agents","2026-07-12","passed","2026-07-12","TestPentestNarratorFallback","test_agents","",""
"","1","test_roundtrip_fields[213-1-0-3]","tests.protocol","2026-07-12","passed","2026-07-12","TestEncodeDecodeRoundtrip","test_arinc429","",""
"","0","test_assets_is_non_empty_list","tests.agents","2026-07-12","passed","2026-07-12","TestThreatModellerContract","test_agents","",""
"","0","test_single_bit_flip_detected","tests.protocol","2026-07-12","passed","2026-07-12","TestParity","test_arinc429","",""
"Verify ThreatModeller produces test names that match EFB test patterns.","0","test_story_generates_threat_model_with_test_names","tests.agents","2026-07-12","passed","2026-07-12","TestAgentPipelineIntegration","test_agents","",""
